hamming_distance,strict_threshold_match,split_pair,class_name,path_a,path_b,leaf_id_a,leaf_id_b,involves_unmapped_leaf
6,False,train--validation,Soybean___healthy,train\Soybean___healthy\37180fad-b8c9-48e0-b1aa-2f288a5fc2c3___RS_HL 4288.JPG,train\Soybean___healthy\2a717d99-b66d-4681-b642-d6cb6fa23775___RS_HL 4081.JPG,Soybean___healthy:::176.0,Soybean___healthy:::149.0,False
6,False,train--validation,Soybean___healthy,train\Soybean___healthy\4d317b82-dbae-4376-be92-4b16fe484225___RS_HL 6276.JPG,train\Soybean___healthy\9e416313-4813-4107-bedc-c8afea09bd55___RS_HL 6212.JPG,Soybean___healthy:::400.0,Soybean___healthy:::395.0,False
6,False,train--validation,Soybean___healthy,train\Soybean___healthy\4fc10746-5fc0-4089-b77d-ed0fe8160515___RS_HL 5693 1.JPG,train\Soybean___healthy\6bdffb57-e4c9-49c0-9072-3177c70dde25___RS_HL 3941.JPG,Soybean___healthy:::345.0,Soybean___healthy:::133.0,False
6,False,train--validation,Soybean___healthy,train\Soybean___healthy\54160541-7a25-4e67-910a-1e948de2124e___RS_HL 4075.JPG,train\Soybean___healthy\71d9bcf3-50ed-46e5-82df-165ed52ad09c___RS_HL 5549 1.JPG,Soybean___healthy:::148.0,Soybean___healthy:::320.0,False
6,False,train--validation,Soybean___healthy,train\Soybean___healthy\798e1dd6-5517-44d6-8e96-264f684096d6___RS_HL 4528.JPG,train\Soybean___healthy\c97c844f-773b-464b-af3b-14bc218d2f56___RS_HL 4082.JPG,Soybean___healthy:::204.0,Soybean___healthy:::149.0,False
6,False,train--validation,Soybean___healthy,train\Soybean___healthy\bc08ebe0-9689-4385-9a06-7d9641de5366___RS_HL 6171.JPG,train\Soybean___healthy\97d16661-4320-4ef4-8692-c5ef2c4229d3___RS_HL 7067.JPG,Soybean___healthy:::392.0,Soybean___healthy:::468.0,False
6,False,train--validation,Soybean___healthy,train\Soybean___healthy\c6407954-3412-456c-abec-6af975921f3d___RS_HL 4964.JPG,train\Soybean___healthy\1edd94a0-0f9d-4bdb-b083-78dfc250a54f___RS_HL 4630.JPG,Soybean___healthy:::251.0,Soybean___healthy:::215.0,False
6,False,train--validation,Soybean___healthy,train\Soybean___healthy\c8073532-e740-4266-a1b5-1c17ac80eddf___RS_HL 5826.JPG,train\Soybean___healthy\5de37529-0539-4968-b566-56dcc981300b___RS_HL 5797.JPG,Soybean___healthy:::367.0,Soybean___healthy:::363.0,False
6,False,train--validation,Soybean___healthy,train\Soybean___healthy\d3916a4b-91ea-4e53-b826-8a93a0ec9370___RS_HL 7482.JPG,val\Soybean___healthy\2c417e81-d6b6-4401-a831-bc8ce8846fb9___RS_HL 4236.JPG,Soybean___healthy:::503.0,Soybean___healthy:::169.0,False
6,False,train--validation,Soybean___healthy,train\Soybean___healthy\f954a450-269f-4774-9a52-0224b1976ef4___RS_HL 3138.JPG,train\Soybean___healthy\8951b5fa-fc06-4799-ae84-7c7424573575___RS_HL 4628.JPG,Soybean___healthy:::51.0,Soybean___healthy:::215.0,False
6,False,train--validation,Soybean___healthy,val\Soybean___healthy\0b694607-c999-4e91-be01-224859f658dc___RS_HL 3383.JPG,val\Soybean___healthy\c55c20a5-c529-43af-949e-cfaad2377481___RS_HL 5454.JPG,Soybean___healthy:::76.0,Soybean___healthy:::308.0,False
6,False,train--validation,Soybean___healthy,val\Soybean___healthy\22f66c7b-ba7e-4c19-b676-268f0201b49c___RS_HL 6176.JPG,train\Soybean___healthy\308b75e8-49e7-4168-9796-9c49875cc403___RS_HL 6214.JPG,Soybean___healthy:::392.0,Soybean___healthy:::395.0,False
6,False,train--validation,Soybean___healthy,val\Soybean___healthy\291ea693-d777-4480-a45d-30e7a971d664___RS_HL 3441.JPG,train\Soybean___healthy\8c2e9ac1-cab6-4aaf-82a8-d5ac0c7614fa___RS_HL 4651.JPG,Soybean___healthy:::80.0,Soybean___healthy:::217.0,False
6,False,train--validation,Soybean___healthy,val\Soybean___healthy\4e548c3e-2e6f-4625-971b-5955b8ee836e___RS_HL 3549.JPG,train\Soybean___healthy\e7bf17d2-fff8-4ac0-aeed-6226e03d26df___RS_HL 4444.JPG,Soybean___healthy:::92.0,Soybean___healthy:::195.0,False
6,False,train--validation,Soybean___healthy,val\Soybean___healthy\5a3ee1ad-ab4d-4428-ae0b-7d2881c5f316___RS_HL 6394.JPG,train\Soybean___healthy\9e416313-4813-4107-bedc-c8afea09bd55___RS_HL 6212.JPG,Soybean___healthy:::410.0,Soybean___healthy:::395.0,False
6,False,train--validation,Soybean___healthy,val\Soybean___healthy\95bf2338-1340-47c0-8327-458953933f89___RS_HL 7211.JPG,train\Soybean___healthy\30e4eabc-5e4e-4141-b331-5c1609690356___RS_HL 5418.JPG,Soybean___healthy:::480.0,Soybean___healthy:::304.0,False
6,False,train--validation,Tomato___Bacterial_spot,train\Tomato___Bacterial_spot\0a64655c-4052-4e5f-a696-2a6cf25d10c9___GCREC_Bact.Sp 6017.JPG,train\Tomato___Bacterial_spot\0d227915-443b-402c-8a25-cc43434c4bb0___GCREC_Bact.Sp 5913.JPG,Tomato___Bacterial_spot:::346.0,Tomato___Bacterial_spot:::321.0,False
6,False,train--validation,Tomato___Bacterial_spot,train\Tomato___Bacterial_spot\dddde2e7-7228-47c6-a263-e1c5003471c0___GCREC_Bact.Sp 3512.JPG,train\Tomato___Bacterial_spot\517dac9f-61a6-4e5a-928e-b0009c2d6d47___GCREC_Bact.Sp 3516.JPG,Tomato___Bacterial_spot:::142.0,Tomato___Bacterial_spot:::143.0,False
6,False,train--validation,Tomato___Late_blight,train\Tomato___Late_blight\01c391d2-1b3a-4b58-b205-a75674bba6e9___GHLB2 Leaf 8824.JPG,train\Tomato___Late_blight\fd26b445-5839-4337-858c-a91dfdd812cc___GHLB2 Leaf 8743.JPG,,,True
6,False,train--validation,Tomato___Late_blight,train\Tomato___Late_blight\33e05db1-0a59-49f4-b4e3-52b52ca31a14___GHLB2 Leaf 155.1.JPG,train\Tomato___Late_blight\05b90bad-941f-499f-a2f6-a88e54c1da85___GHLB2 Leaf 155.2.JPG,,,True
6,False,train--validation,Tomato___Spider_mites Two-spotted_spider_mite,train\Tomato___Spider_mites Two-spotted_spider_mite\0d5846df-f761-4d38-b10f-7bdb42b989b7___Com.G_SpM_FL 1484.JPG,train\Tomato___Spider_mites Two-spotted_spider_mite\c614b0c3-79eb-4818-ae01-336c79a27780___Com.G_SpM_FL 1618.JPG,Tomato___Spider_mites Two-spotted_spider_mite:::88.0,Tomato___Spider_mites Two-spotted_spider_mite:::121.0,False
6,False,train--validation,Tomato___Spider_mites Two-spotted_spider_mite,train\Tomato___Spider_mites Two-spotted_spider_mite\4a1fef3f-35be-48ca-9e6c-78d5578c727a___Com.G_SpM_FL 1316.JPG,train\Tomato___Spider_mites Two-spotted_spider_mite\a46bbe0e-2964-41df-abe5-f9c9a6934c37___Com.G_SpM_FL 1599.JPG,Tomato___Spider_mites Two-spotted_spider_mite:::46.0,Tomato___Spider_mites Two-spotted_spider_mite:::116.0,False
6,False,train--validation,Tomato___Spider_mites Two-spotted_spider_mite,train\Tomato___Spider_mites Two-spotted_spider_mite\5c0e506b-b1cb-49a7-b764-b80b73d4244e___Com.G_SpM_FL 1196.JPG,train\Tomato___Spider_mites Two-spotted_spider_mite\e2aa2f14-9b4e-4b25-aa44-797be70717f4___Com.G_SpM_FL 1620.JPG,Tomato___Spider_mites Two-spotted_spider_mite:::16.0,Tomato___Spider_mites Two-spotted_spider_mite:::121.0,False
6,False,train--validation,Tomato___Spider_mites Two-spotted_spider_mite,train\Tomato___Spider_mites Two-spotted_spider_mite\df590ea7-bdf5-410b-8063-dbdaa9a5a228___Com.G_SpM_FL 1461.JPG,val\Tomato___Spider_mites Two-spotted_spider_mite\2eacde8c-c10b-4768-b5f8-9405673cd19b___Com.G_SpM_FL 1188.JPG,Tomato___Spider_mites Two-spotted_spider_mite:::82.0,Tomato___Spider_mites Two-spotted_spider_mite:::14.0,False
6,False,train--validation,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\1f1499b2-fbea-4e2d-bfd2-b64ad1c180d4___YLCV_GCREC 2606.JPG,val\Tomato___Tomato_Yellow_Leaf_Curl_Virus\0e154a66-40e6-4215-9200-853b3752635b___YLCV_GCREC 2133.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus:::178.0,Tomato___Tomato_Yellow_Leaf_Curl_Virus:::60.0,False
6,False,train--validation,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\2884e60c-aec0-4029-95fc-d445201992c1___UF.GRC_YLCV_Lab 01538.JPG,val\Tomato___Tomato_Yellow_Leaf_Curl_Virus\8d7689ca-7734-4c78-a006-659c8cd9d1df___UF.GRC_YLCV_Lab 01532.JPG,,,True
6,False,train--validation,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\7c74d6cc-d114-4031-a675-2c6bb6ff7b48___UF.GRC_YLCV_Lab 09612.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\01cc37b3-ab08-44bc-be70-7f14b610f011___UF.GRC_YLCV_Lab 09617.JPG,,,True
6,False,train--validation,Tomato___Tomato_Yellow_Leaf_Curl_Virus,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\c58fa24e-ff44-4b4a-9a13-4a1f05e2fab0___UF.GRC_YLCV_Lab 01379.JPG,train\Tomato___Tomato_Yellow_Leaf_Curl_Virus\0b78b271-70eb-478c-b6b5-c271a2dfd3e2___UF.GRC_YLCV_Lab 01380.JPG,,,True
6,False,train--validation,Tomato___healthy,val\Tomato___healthy\0f809e80-ee2b-4ad4-9a80-50d789298d48___GH_HL Leaf 192.JPG,train\Tomato___healthy\f7d044c0-6900-4624-9c20-fa27aa0911ff___GH_HL Leaf 275.JPG,,,True
6,False,train--validation,Tomato___healthy,val\Tomato___healthy\1e8c2c4d-e787-45ff-87ac-56484ac8d3d4___GH_HL Leaf 472.JPG,train\Tomato___healthy\f7d044c0-6900-4624-9c20-fa27aa0911ff___GH_HL Leaf 275.JPG,,,True
7,False,test--train,Apple___healthy,train\Apple___healthy\6a2b2664-0e91-455c-8978-64c097631604___RS_HL 7808.JPG,train\Apple___healthy\63f2f961-ac3f-4a2d-9fc1-6987e8da97cc___RS_HL 7447.JPG,Apple___healthy:::205.0,Apple___healthy:::156.0,False
7,False,test--train,Apple___healthy,train\Apple___healthy\9d3bb139-5177-4d08-914b-5fe232cff065___RS_HL 6011.JPG,train\Apple___healthy\130a93b4-92ca-4883-b003-37954a929dbf___RS_HL 7855.JPG,Apple___healthy:::62.0,Apple___healthy:::211.0,False
7,False,test--train,Apple___healthy,val\Apple___healthy\d321145e-6ab0-4ad2-8109-f34ee4389149___RS_HL 7848.JPG,train\Apple___healthy\d9de1954-e451-48e5-ad8b-5aeca90fe7ea___RS_HL 6034.JPG,Apple___healthy:::210.0,Apple___healthy:::65.0,False
7,False,test--train,Apple___healthy,val\Apple___healthy\d321145e-6ab0-4ad2-8109-f34ee4389149___RS_HL 7848.JPG,val\Apple___healthy\06c0c5f7-59cd-498b-8284-51290720a18d___RS_HL 7636.JPG,Apple___healthy:::210.0,Apple___healthy:::181.0,False
7,False,test--train,Blueberry___healthy,train\Blueberry___healthy\17f38da5-9764-456e-9c16-436ec1d69041___RS_HL 0590.JPG,train\Blueberry___healthy\0a3f8b2f-9bb1-4da9-85a1-fb5a52c059e2___RS_HL 2478.JPG,Blueberry___healthy:::38.0,Blueberry___healthy:::88.0,False
7,False,test--train,Blueberry___healthy,train\Blueberry___healthy\276eefe5-2742-4610-9d6a-7d22083d10b1___RS_HL 5285.JPG,train\Blueberry___healthy\7ebded63-7349-4ed4-9e3c-488a79d6252e___RS_HL 5169.JPG,Blueberry___healthy:::144.0,Blueberry___healthy:::137.0,False
7,False,test--train,Blueberry___healthy,train\Blueberry___healthy\276eefe5-2742-4610-9d6a-7d22083d10b1___RS_HL 5285.JPG,train\Blueberry___healthy\99d3b20c-d60b-46e0-aac7-5c740297f0d1___RS_HL 0426.JPG,Blueberry___healthy:::144.0,Blueberry___healthy:::15.0,False
7,False,test--train,Blueberry___healthy,train\Blueberry___healthy\276eefe5-2742-4610-9d6a-7d22083d10b1___RS_HL 5285.JPG,val\Blueberry___healthy\c00cfc72-9251-4693-a46a-a6dc10ca79c1___RS_HL 5167.JPG,Blueberry___healthy:::144.0,Blueberry___healthy:::137.0,False
7,False,test--train,Blueberry___healthy,train\Blueberry___healthy\7fad4d08-a784-44bf-a703-6e39a2fea09d___RS_HL 2689.JPG,train\Blueberry___healthy\a2cd36f1-8cdf-4b2d-953f-8b634df2b2df___RS_HL 5471.JPG,Blueberry___healthy:::112.0,Blueberry___healthy:::155.0,False
7,False,test--train,Blueberry___healthy,train\Blueberry___healthy\a5506fba-2c74-4387-8511-f5e1ba8c5a94___RS_HL 2668.JPG,train\Blueberry___healthy\3f10abbd-238e-4ef2-abdf-651e85a385e5___RS_HL 2520.JPG,Blueberry___healthy:::110.0,Blueberry___healthy:::93.0,False
7,False,test--train,Blueberry___healthy,train\Blueberry___healthy\aec0b95b-d9e0-4f8d-9d7b-52693665cec5___RS_HL 5223.JPG,train\Blueberry___healthy\cb0d7a6c-cd95-4089-a12a-a08ba8e8a1ee___RS_HL 5351.JPG,Blueberry___healthy:::140.0,Blueberry___healthy:::148.0,False
7,False,test--train,Blueberry___healthy,train\Blueberry___healthy\b4e9643f-c810-40d5-8005-6f4a137b65ca___RS_HL 5509.JPG,train\Blueberry___healthy\f0005cff-d101-474d-8a1f-c119df6b9a7d___RS_HL 5168.JPG,Blueberry___healthy:::159.0,Blueberry___healthy:::137.0,False
7,False,test--train,Blueberry___healthy,train\Blueberry___healthy\bf71f73c-77ad-4795-9126-3c02b6f76752___RS_HL 2685.JPG,train\Blueberry___healthy\44429437-288d-44cf-9aee-cdc89b7dc1ec___RS_HL 5397.JPG,Blueberry___healthy:::112.0,Blueberry___healthy:::151.0,False
7,False,test--train,Blueberry___healthy,train\Blueberry___healthy\cff19a03-e720-4dc6-ad6f-0797b54899a7___RS_HL 2571.JPG,train\Blueberry___healthy\608e5585-86a8-4d25-91a7-e841f3ea4d60___RS_HL 2652.JPG,Blueberry___healthy:::99.0,Blueberry___healthy:::108.0,False
7,False,test--train,Blueberry___healthy,train\Blueberry___healthy\e3178591-4611-495f-a9a2-72359913e0e6___RS_HL 5225.JPG,train\Blueberry___healthy\4f155e79-f82c-4a34-80ed-b6406651a20b___RS_HL 5187.JPG,Blueberry___healthy:::140.0,Blueberry___healthy:::138.0,False
7,False,test--train,Blueberry___healthy,val\Blueberry___healthy\44dd21d5-d2e3-4b76-bc32-5642221c6df3___RS_HL 5480.JPG,train\Blueberry___healthy\1f453a9b-446a-495b-b4e1-62b98d36e5b6___RS_HL 5039.JPG,Blueberry___healthy:::157.0,Blueberry___healthy:::128.0,False
7,False,test--train,Blueberry___healthy,val\Blueberry___healthy\a6d4685f-9ed7-443a-ab02-afa30b3ae15b___RS_HL 0622.JPG,train\Blueberry___healthy\f3ba4c6d-dcb4-474f-8ab8-65b0a3553bbc___RS_HL 4964.JPG,Blueberry___healthy:::42.0,Blueberry___healthy:::121.0,False
7,False,test--train,Blueberry___healthy,val\Blueberry___healthy\fe4de3f6-ef8e-4e3f-b180-f8dd1c3d54cc___RS_HL 0591.JPG,train\Blueberry___healthy\0a3f8b2f-9bb1-4da9-85a1-fb5a52c059e2___RS_HL 2478.JPG,Blueberry___healthy:::38.0,Blueberry___healthy:::88.0,False
7,False,test--train,Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\0ce4ee15-d59b-4212-ab2a-8b6a07f3634f___JR_HL 9707.JPG,train\Cherry_(including_sour)___healthy\5d6ae672-3a2e-4be6-905c-c9e42e381a8a___JR_HL 9841.JPG,Cherry_(including_sour)___healthy:::77.0,Cherry_(including_sour)___healthy:::96.0,False
7,False,test--train,Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\0ce4ee15-d59b-4212-ab2a-8b6a07f3634f___JR_HL 9707.JPG,train\Cherry_(including_sour)___healthy\ab72c1fa-5d40-4bc9-a384-a99fab121811___JR_HL 9510.JPG,Cherry_(including_sour)___healthy:::77.0,Cherry_(including_sour)___healthy:::51.0,False
7,False,test--train,Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\0ce4ee15-d59b-4212-ab2a-8b6a07f3634f___JR_HL 9707.JPG,train\Cherry_(including_sour)___healthy\ec1514ea-278c-4baf-889c-f2d057328abb___JR_HL 9752.JPG,Cherry_(including_sour)___healthy:::77.0,Cherry_(including_sour)___healthy:::84.0,False
7,False,test--train,Cherry_(including_sour)___healthy,train\Cherry_(including_sour)___healthy\f942f9e6-c4b4-4928-90f3-171cc6ccd9cb___JR_HL 9772.JPG,val\Cherry_(including_sour)___healthy\344ccdfc-3269-4b18-aeb8-a57fbd8b5de3___JR_HL 9541.JPG,Cherry_(including_sour)___healthy:::86.0,Cherry_(including_sour)___healthy:::56.0,False
7,False,test--train,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,train\Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\f4d1410d-4fb6-4d90-ac8c-c96e64374cfa___RS_GLSp 7341.JPG,train\Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\c517891d-1411-4f7a-8d34-286ff2a7571f___RS_GLSp 4404.JPG,,,True
7,False,test--train,Corn_(maize)___Common_rust_,train\Corn_(maize)___Common_rust_\RS_Rust 2318.JPG,train\Corn_(maize)___Common_rust_\RS_Rust 2512.JPG,,,True
7,False,test--train,Corn_(maize)___Common_rust_,train\Corn_(maize)___Common_rust_\RS_Rust 2532.JPG,train\Corn_(maize)___Common_rust_\RS_Rust 2170.JPG,,,True
7,False,test--train,Corn_(maize)___Common_rust_,train\Corn_(maize)___Common_rust_\RS_Rust 2579.JPG,train\Corn_(maize)___Common_rust_\RS_Rust 2595.JPG,,,True
7,False,test--train,Corn_(maize)___Common_rust_,train\Corn_(maize)___Common_rust_\RS_Rust 2753.JPG,train\Corn_(maize)___Common_rust_\RS_Rust 2501.JPG,,,True
7,False,test--train,Corn_(maize)___Common_rust_,val\Corn_(maize)___Common_rust_\RS_Rust 1668.JPG,val\Corn_(maize)___Common_rust_\RS_Rust 1889.JPG,,,True
7,False,test--train,Corn_(maize)___Common_rust_,val\Corn_(maize)___Common_rust_\RS_Rust 2692.JPG,train\Corn_(maize)___Common_rust_\RS_Rust 2744.JPG,,,True
7,False,test--train,Corn_(maize)___Northern_Leaf_Blight,train\Corn_(maize)___Northern_Leaf_Blight\92d654a4-bd4d-48ed-9bdf-1750662ae4af___RS_NLB 4088.JPG,train\Corn_(maize)___Northern_Leaf_Blight\14c0cb10-f1bc-49d5-b03e-65a81805140c___RS_NLB 3826.JPG,,,True
7,False,test--train,Corn_(maize)___healthy,train\Corn_(maize)___healthy\6cc79c8d-90b8-4343-94da-98c8edc968e3___R.S_HL 5553 copy.jpg,val\Corn_(maize)___healthy\515cfd7f-995c-4843-93f7-dc2c012db476___R.S_HL 7877 copy 2.jpg,,,True
7,False,test--train,Corn_(maize)___healthy,val\Corn_(maize)___healthy\5c179b07-7853-4f7e-a274-c981090d2e0c___R.S_HL 0600 copy 2.jpg,train\Corn_(maize)___healthy\915745f2-1da9-4e98-aba1-8a892cb1a863___R.S_HL 0597 copy.jpg,,,True
7,False,test--train,Corn_(maize)___healthy,val\Corn_(maize)___healthy\799436ad-dbb3-4019-b150-db9e005a03a8___R.S_HL 5502 copy 2.jpg,val\Corn_(maize)___healthy\9c774ac1-c09e-4365-bb0e-eee0dd61ac3c___R.S_HL 0637 copy 3.jpg,,,True
7,False,test--train,Grape___Black_rot,train\Grape___Black_rot\03aa3aee-2a42-459d-8fa1-39d88e8a5ced___FAM_B.Rot 3487.JPG,train\Grape___Black_rot\55bd709e-4202-4175-8d60-5302eba8e3d1___FAM_B.Rot 3410.JPG,Grape___Black_rot:::234.0,Grape___Black_rot:::214.0,False
7,False,test--train,Grape___Black_rot,train\Grape___Black_rot\61c865cc-fecf-437d-aa7d-e1d836723f62___FAM_B.Rot 3040.JPG,train\Grape___Black_rot\8e6afe37-0b36-4470-bb3a-bf3bf96475d4___FAM_B.Rot 3521.JPG,Grape___Black_rot:::122.0,Grape___Black_rot:::242.0,False
7,False,test--train,Grape___Black_rot,train\Grape___Black_rot\b055115b-4eb8-4126-9db9-94d48b97fa30___FAM_B.Rot 3620.JPG,val\Grape___Black_rot\c5df7947-a457-42e9-990c-01372fbce8fc___FAM_B.Rot 0726.JPG,Grape___Black_rot:::267.0,Grape___Black_rot:::101.0,False
7,False,test--train,Grape___Black_rot,train\Grape___Black_rot\b8b61796-7482-4057-996a-af8e54ab9761___FAM_B.Rot 5060.JPG,train\Grape___Black_rot\908798fd-5d87-460a-a072-5a832dbc4856___FAM_B.Rot 5096.JPG,Grape___Black_rot:::283.0,Grape___Black_rot:::292.0,False
7,False,test--train,Grape___Esca_(Black_Measles),train\Grape___Esca_(Black_Measles)\0f2e3dac-b501-48df-987e-b7ae6f662092___FAM_B.Msls 4480.JPG,train\Grape___Esca_(Black_Measles)\0e944041-c132-49cb-bd8c-0224c0f06cad___FAM_B.Msls 1241.JPG,Grape___Esca_(Black_Measles):::342.0,Grape___Esca_(Black_Measles):::105.0,False
7,False,test--train,Grape___Esca_(Black_Measles),train\Grape___Esca_(Black_Measles)\17c6b47a-d03e-4b80-9a35-0db97d82357d___FAM_B.Msls 4204.JPG,train\Grape___Esca_(Black_Measles)\b7528888-1bc3-4451-8114-2ea432c9184b___FAM_B.Msls 1131.JPG,Grape___Esca_(Black_Measles):::274.0,Grape___Esca_(Black_Measles):::78.0,False
7,False,test--train,Grape___Esca_(Black_Measles),train\Grape___Esca_(Black_Measles)\39fe5f50-7e91-4af9-a843-7a13f2bc734e___FAM_B.Msls 0898.JPG,train\Grape___Esca_(Black_Measles)\0560b081-3467-4f76-9c00-895eb436a902___FAM_B.Msls 1733.JPG,Grape___Esca_(Black_Measles):::20.0,Grape___Esca_(Black_Measles):::135.0,False
7,False,test--train,Grape___Esca_(Black_Measles),train\Grape___Esca_(Black_Measles)\58a7a680-1399-408a-be93-f2d7ee89adb0___FAM_B.Msls 3986.JPG,train\Grape___Esca_(Black_Measles)\6625dd3f-65b7-4eff-a24a-3e964fc793a1___FAM_B.Msls 1304.JPG,Grape___Esca_(Black_Measles):::220.0,Grape___Esca_(Black_Measles):::121.0,False
7,False,test--train,Grape___Esca_(Black_Measles),train\Grape___Esca_(Black_Measles)\68bd17e3-8ea4-4f5d-9192-b7ed0d83d822___FAM_B.Msls 4264.JPG,train\Grape___Esca_(Black_Measles)\db30d682-f460-4b64-b26c-8149cffea144___FAM_B.Msls 3796.JPG,Grape___Esca_(Black_Measles):::289.0,Grape___Esca_(Black_Measles):::173.0,False
7,False,test--train,Grape___Esca_(Black_Measles),train\Grape___Esca_(Black_Measles)\6fba0907-14aa-44d4-96ac-6a40ef299939___FAM_B.Msls 4026.JPG,train\Grape___Esca_(Black_Measles)\a9b29c40-bf93-40e8-8621-1f10bbd8fe05___FAM_B.Msls 4091.JPG,Grape___Esca_(Black_Measles):::230.0,Grape___Esca_(Black_Measles):::246.0,False
7,False,test--train,Grape___Esca_(Black_Measles),train\Grape___Esca_(Black_Measles)\c2b1ba42-7911-4013-93ed-111745171f0a___FAM_B.Msls 4386.JPG,train\Grape___Esca_(Black_Measles)\5b00f3c5-f8dc-42a3-a692-dc3da81c7525___FAM_B.Msls 0833.JPG,Grape___Esca_(Black_Measles):::319.0,Grape___Esca_(Black_Measles):::4.0,False
7,False,test--train,Grape___Esca_(Black_Measles),train\Grape___Esca_(Black_Measles)\c2d399a4-eee5-4973-847c-9621b2e4edd9___FAM_B.Msls 4063.JPG,train\Grape___Esca_(Black_Measles)\a9b29c40-bf93-40e8-8621-1f10bbd8fe05___FAM_B.Msls 4091.JPG,Grape___Esca_(Black_Measles):::239.0,Grape___Esca_(Black_Measles):::246.0,False
7,False,test--train,Grape___Esca_(Black_Measles),train\Grape___Esca_(Black_Measles)\c8be8119-a208-4bef-897e-d4ece4f7ade2___FAM_B.Msls 4071.JPG,train\Grape___Esca_(Black_Measles)\2c4ddcf7-2ad4-4802-a027-59c1b192d7a2___FAM_B.Msls 1123.JPG,Grape___Esca_(Black_Measles):::241.0,Grape___Esca_(Black_Measles):::76.0,False
7,False,test--train,Grape___Esca_(Black_Measles),train\Grape___Esca_(Black_Measles)\c8be8119-a208-4bef-897e-d4ece4f7ade2___FAM_B.Msls 4071.JPG,train\Grape___Esca_(Black_Measles)\2e0db792-fc3b-4444-8bdf-6b0db024c067___FAM_B.Msls 4337.JPG,Grape___Esca_(Black_Measles):::241.0,Grape___Esca_(Black_Measles):::307.0,False
7,False,test--train,Grape___Esca_(Black_Measles),train\Grape___Esca_(Black_Measles)\da2ded91-338e-47db-a640-269590ea2b8b___FAM_B.Msls 1127.JPG,val\Grape___Esca_(Black_Measles)\2e14a527-e8b7-4c3f-935e-231ba12a5f99___FAM_B.Msls 4180.JPG,Grape___Esca_(Black_Measles):::77.0,Grape___Esca_(Black_Measles):::268.0,False
7,False,test--train,Grape___Esca_(Black_Measles),train\Grape___Esca_(Black_Measles)\decd47b1-34d6-40f8-94d3-2fcaba5ea7d2___FAM_B.Msls 4388.JPG,val\Grape___Esca_(Black_Measles)\51186201-0eab-4b86-acda-8fd2de89d1bb___FAM_B.Msls 4468.JPG,Grape___Esca_(Black_Measles):::319.0,Grape___Esca_(Black_Measles):::339.0,False
7,False,test--train,Grape___Esca_(Black_Measles),train\Grape___Esca_(Black_Measles)\df11f62e-738e-4879-b37c-8f6ba65cde0c___FAM_B.Msls 1129.JPG,train\Grape___Esca_(Black_Measles)\5609e627-47b2-4008-af43-c8103689a6a0___FAM_B.Msls 3922.JPG,Grape___Esca_(Black_Measles):::77.0,Grape___Esca_(Black_Measles):::204.0,False
7,False,test--train,Grape___Esca_(Black_Measles),train\Grape___Esca_(Black_Measles)\ed5ace67-5b4e-41e7-ada7-e89d45b05d61___FAM_B.Msls 1311.JPG,train\Grape___Esca_(Black_Measles)\739532f1-7775-4d7c-b63e-001e7d9df127___FAM_B.Msls 4297.JPG,Grape___Esca_(Black_Measles):::122.0,Grape___Esca_(Black_Measles):::297.0,False
7,False,test--train,Grape___Esca_(Black_Measles),train\Grape___Esca_(Black_Measles)\ffc0847a-e88d-4332-8c7c-4b63ba65a471___FAM_B.Msls 1130.JPG,train\Grape___Esca_(Black_Measles)\1597641f-db77-43c9-bd8c-912498c22b15___FAM_B.Msls 0966.JPG,Grape___Esca_(Black_Measles):::77.0,Grape___Esca_(Black_Measles):::37.0,False
7,False,test--train,Grape___Esca_(Black_Measles),val\Grape___Esca_(Black_Measles)\fda457e6-ba9b-4cde-864b-491972dc4edb___FAM_B.Msls 1026.JPG,val\Grape___Esca_(Black_Measles)\b6f9d1c9-f433-41d6-bdee-0e3cf5e80791___FAM_B.Msls 1235.JPG,Grape___Esca_(Black_Measles):::52.0,Grape___Esca_(Black_Measles):::104.0,False
